Disease,Advice,Tablets
Common Cold,"Drink plenty of fluids, rest, and avoid exposure to cold.","Paracetamol, Vitamin C tablets"
Flu,"Rest, drink fluids, and take fever-reducing medicine.","Oseltamivir, Paracetamol"
Headache,"Take rest, drink water, and avoid stress.","Ibuprofen, Acetaminophen"
Diabetes,"Follow a balanced diet, monitor blood sugar, and exercise regularly.","Metformin, Insulin"
Hypertension,"Reduce salt intake, exercise, and avoid stress.","Amlodipine, Losartan"
Asthma,"Avoid allergens, use inhaler during attacks, and monitor symptoms.","Salbutamol, Beclometasone"
Acid Reflux,"Eat smaller meals, avoid lying down immediately after eating.","Omeprazole, Antacids"
Arthritis,"Engage in low-impact exercises, use heat or cold for relief.","Ibuprofen, Methotrexate"
Allergies,"Avoid allergens, use antihistamines as needed.","Cetirizine, Loratadine"
Depression,"Consult a mental health professional, engage in regular exercise.","Fluoxetine, Sertraline"
Thyroid,Get regular check-ups and take medications as prescribed.,"Insulin, Oseltamivir"
Rheumatism,Follow a balanced diet and avoid stress.,"Doxycycline, Acetaminophen"
Chickenpox,Get regular check-ups and take medications as prescribed.,"Acetaminophen, Oseltamivir"
Eczema,Get regular check-ups and take medications as prescribed.,"Amlodipine, Paracetamol"
Tuberculosis,Follow your doctor's advice and stay hydrated.,"Metformin, Paracetamol"
Psoriasis,Take regular breaks and practice relaxation techniques.,"Oseltamivir, Amoxicillin"
Pneumonia,Practice good hygiene and take preventive measures.,"Insulin, Omeprazole"
Arthritis,Avoid triggers and maintain a proper sleep schedule.,"Paracetamol, Antihistamines"
Insomnia,Get regular check-ups and take medications as prescribed.,"Vitamin C, Metformin"
Gout,Practice good hygiene and take preventive measures.,"Paracetamol, Omeprazole"
Gout,Practice good hygiene and take preventive measures.,"Amlodipine, Ibuprofen"
Vertigo,Follow a balanced diet and avoid stress.,"Acetaminophen, Losartan"
Allergy,Avoid triggers and maintain a proper sleep schedule.,"Insulin, Metformin"
